Dates	,,COUNT-None-US,US	MEAN,MEAN,NEG-None-US,US	MEAN,MEAN,SUM-None-US,US	SUM,MEAN,SUM-None-US,US	MEAN,SUM,NEG-None-US,US	SUM,MEAN,NEG-None-US,US	SUM,SUM,NEG-None-US,US	MEAN,SUM,SUM-None-US,US	SUM,SUM,SUM-None-US,US
2001-03-15 00:00:00+00:00	2	0.3	-0.15	-1.5	0.6	3.0	6.0	-0.3	-3.0
2001-03-16 00:00:00+00:00	2	1.0	-1.0	-1.0	2.0	1.0	2.0	-2.0	-2.0
2001-03-17 00:00:00+00:00	3	0.285714285714	0.0793650793651	-0.333333333333	0.857142857143	2.0	6.0	0.238095238095	-1.0
2001-03-18 00:00:00+00:00	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2001-03-19 00:00:00+00:00	1	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
2001-03-20 00:00:00+00:00	4	0.208333333333	-0.145833333333	-0.5	0.833333333333	0.75	3.0	-0.583333333333	-2.0
2001-03-21 00:00:00+00:00	5	0.15	0.455555555556	0.6	0.75	1.8	9.0	2.27777777778	3.0
2001-03-23 00:00:00+00:00	6	0.172222222222	0.266666666667	0.0	1.03333333333	1.33333333333	8.0	1.6	0.0
2001-03-24 00:00:00+00:00	1	0.0	0.5	0.5	0.0	0.0	0.0	0.5	0.5
2001-03-26 00:00:00+00:00	4	0.6875	-0.4375	-0.375	2.75	1.625	6.5	-1.75	-1.5
2001-03-27 00:00:00+00:00	5	0.655072463768	-0.553623188406	-3.2	3.27536231884	4.4	22.0	-2.76811594203	-16.0
2001-03-28 00:00:00+00:00	2	0.333333333333	-0.0972222222222	-1.75	0.666666666667	3.0	6.0	-0.194444444444	-3.5
2001-03-29 00:00:00+00:00	1	1.66666666667	-1.33333333333	-4.0	1.66666666667	5.0	5.0	-1.33333333333	-4.0
2001-03-30 00:00:00+00:00	3	0.388888888889	-0.277777777778	-0.166666666667	1.16666666667	0.5	1.5	-0.833333333333	-0.5
2001-03-31 00:00:00+00:00	7	0.509615384615	0.447802197802	2.28571428571	3.56730769231	2.28571428571	16.0	3.13461538462	16.0
2001-04-02 00:00:00+00:00	5	0.524561403509	0.236842105263	1.3	2.62280701754	1.7	8.5	1.18421052632	6.5
2001-04-03 00:00:00+00:00	7	0.374149659864	0.197278911565	-0.428571428571	2.61904761905	3.0	21.0	1.38095238095	-3.0
2001-04-05 00:00:00+00:00	8	0.506434729064	-0.14533045977	-2.875	4.05147783251	6.625	53.0	-1.16264367816	-23.0
2001-04-06 00:00:00+00:00	5	0.39	-0.123333333333	-0.3	1.95	1.3	6.5	-0.616666666667	-1.5
2001-04-07 00:00:00+00:00	1	0.833333333333	-0.533333333333	-16.0	0.833333333333	25.0	25.0	-0.533333333333	-16.0
2001-04-08 00:00:00+00:00	1	0.25	-0.25	-2.0	0.25	2.0	2.0	-0.25	-2.0
2001-04-09 00:00:00+00:00	2	0.166666666667	0.833333333333	0.5	0.333333333333	0.5	1.0	1.66666666667	1.0
2001-04-10 00:00:00+00:00	3	0.0	0.166666666667	0.333333333333	0.0	0.0	0.0	0.5	1.0
2001-04-11 00:00:00+00:00	3	0.537037037037	-0.277777777778	-1.33333333333	1.61111111111	3.66666666667	11.0	-0.833333333333	-4.0
